companyCode,companyName,total_facilities,cumulative,cum_pct
SUTIPL,Supple Tek Industries Private Limited,1498.0,3045825.44,80.46632160804467
RAJMILL,Rajapalayam Mills Limited,1497.46,3047322.9,80.50588234464261
EIDPARI,E.I.D. Parry India Limited,1475.0,3048797.9,80.54484972038686
EOAGEA,Essar Oil and Gas Exploration and Production Limited,1450.0,3050247.9,80.58315663213544
JTIPL,Joyalukkas India Limited,1450.0,3051697.9,80.62146354388403
CREHEP,Clean Renewable Energy Hybrid Eight Private Limited,1431.97,3053129.87,80.65929412899894
TYTFSIL,Toyota Financial Services India Limited,1425.7,3054555.5700000003,80.69695906974374
ARSSB,Anand Rathi Share and Stock Brokers Limited,1400.0,3055955.5700000003,80.733945053501
GHACHEM,Gharda Chemicals Limited,1400.0,3057355.5700000003,80.77093103725824
GUJGARLTD,Gujarat Guardian Limited,1400.0,3058755.5700000003,80.8079170210155
GDS1177,Anupam Rasayan India Limited,1369.82,3060125.39,80.84410569263719
LLOSTEE,Evonith Value Steel Limited,1350.0000000000002,3061475.39,80.8797707484031
KAESVS,KrazyBee Services Limited,1350.0,3062825.39,80.91543580416902
PAALL,Parekh Aluminex Limited,1345.0,3064170.39,80.9509687671358
RML,Rashmi Metaliks Limited,1340.0,3065510.39,80.98636963730345
KSIIPL,KSS Petron Private Limited,1333.5,3066843.89,81.02159878683224
APMPLI,Azure Power Maple Private Limited,1325.5,3068169.39,81.05661658788242
TATINTL,Tata International Limited,1317.0,3069486.39,81.09140983117406
ASAINDI,Asahi India Glass Limited,1314.98,3070801.37,81.12614970897485
AABPPI,APL Apollo Building Products Limited,1310.0,3072111.37,81.16075802234771
JBETPL,JBM Eco Tech Private Limited,1308.78,3073420.15,81.19533410507756
GDS18941,Sanmar Shipping Limited,1300.0,3074720.15,81.22967823285215
INBFPL,Iscon Balaji Foods Private Limited,1300.0,3076020.15,81.26402236062674
MLSBCL,Milestone Buildcon Private Limited,1300.0,3077320.15,81.29836648840134
GDS4382,Deepak Cables India Limited,1300.0,3078620.15,81.33271061617593
VRCCIPL,VRC Constructions India Limited,1300.0,3079920.15,81.36705474395052
GDS2661,APL Apollo Tubes Limited,1270.0,3081190.15,81.40060631493031
LTTG,L&T - MHI Power Turbine Generators Private Limited,1265.0,3082455.15,81.43402579311096
POWELIM,Powerica Limited,1262.8700000000001,3083718.02,81.46738899975921
SPCNEP,Adani Solar Energy Jaisalmer Two Private Limited,1256.0800000000002,3084974.1,81.50057282438621
INXWD,Inox Wind Limited,1250.0,3086224.1,81.53359602416947
GDS11644,Mankind Pharma Limited,1250.0,3087474.1,81.56661922395273
VASENGG,Vascon Engineers Limited,1249.9999999999998,3088724.1,81.59964242373599
NIRLON,Nirlon Limited,1230.0,3089954.1,81.6321372523227
ORASPL,Orissa Alloy Steel Private Limited,1210.0,3091164.1,81.6641037097129
